Timestamp,Millis,Temperature,Humidity,Luminosity,Charge,Presence
2025-07-17 14:25:48,3079,33.5,29.0,709,927,True
2025-07-17 14:25:51,6148,33.4,30.0,698,918,True
2025-07-17 14:25:54,9193,33.3,30.0,279,919,True
2025-07-17 14:25:57,12260,33.5,29.0,727,891,False
2025-07-17 14:26:00,15303,33.4,29.0,196,894,False
2025-07-17 14:26:03,18370,33.3,28.0,727,917,False
2025-07-17 14:26:07,21413,33.3,28.0,175,907,False
2025-07-17 14:26:10,24480,33.5,28.0,728,891,False
2025-07-17 14:26:13,27526,33.4,28.0,737,910,False
2025-07-17 14:26:16,30593,33.5,28.0,728,890,False
2025-07-17 14:26:19,33636,33.5,28.0,739,899,False
2025-07-17 14:26:22,36703,33.5,28.0,727,895,False
2025-07-17 14:26:25,39748,33.5,28.0,720,905,False
2025-07-17 14:26:28,42815,33.5,28.0,725,902,False
2025-07-17 14:26:31,45858,33.6,28.0,737,910,False
2025-07-17 14:26:34,48925,33.5,28.0,722,902,False
2025-07-17 14:26:37,51971,33.6,28.0,729,908,False
2025-07-17 14:26:40,55037,33.5,28.0,726,903,False
2025-07-17 14:26:43,58081,33.6,28.0,736,909,False
2025-07-17 14:26:46,61148,33.7,29.0,727,903,False
2025-07-17 14:26:49,64193,33.5,28.0,731,908,False
2025-07-17 14:26:52,67260,33.5,28.0,457,891,False
2025-07-17 14:26:55,70303,33.5,28.0,737,909,False
2025-07-17 14:26:58,73370,33.6,28.0,417,889,False
2025-07-17 14:27:01,76414,33.6,28.0,731,894,False
2025-07-17 14:27:04,79480,33.5,28.0,112,891,False
2025-07-17 14:27:07,82524,33.5,28.0,739,900,False
2025-07-17 14:27:10,85591,33.5,28.0,142,905,False
2025-07-17 14:27:13,88635,33.5,27.0,735,908,False
2025-07-17 14:27:16,91700,33.5,28.0,597,904,False
2025-07-17 14:27:20,94745,33.5,28.0,735,908,False
2025-07-17 14:27:23,97812,33.5,28.0,542,914,False
2025-07-17 14:27:26,100858,33.4,28.0,714,929,True
2025-07-17 14:27:29,103926,33.4,30.0,95,930,True
2025-07-17 14:27:32,106973,33.5,29.0,151,934,True
2025-07-17 14:27:35,110040,34.9,30.0,740,909,False
2025-07-17 14:27:38,113085,33.5,28.0,126,924,False
2025-07-17 14:27:41,116152,33.5,28.0,729,915,False
2025-07-17 14:27:44,119196,33.4,28.0,742,914,False
2025-07-17 14:27:47,122261,33.5,28.0,737,917,False
2025-07-17 14:27:50,125305,33.6,28.0,740,920,False
2025-07-17 14:27:53,128371,33.7,28.0,742,910,False
2025-07-17 14:27:56,131417,33.5,28.0,752,925,False
2025-07-17 14:27:59,134482,33.4,28.0,736,908,False
2025-07-17 14:28:02,137526,33.5,28.0,748,922,False
2025-07-17 14:28:05,140593,33.5,28.0,741,911,False
2025-07-17 14:28:08,143637,33.5,28.0,750,923,False
